"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"BP" "GO:0043066" "negative regulation of apoptotic process" "73/334" "494/9111" 5.90293154768409e-26 2.10573667210112e-23 1.11562581882068e-23 "FYN/IGF1/HGF/FLT4/PIK3CB/ERBB3/FGFR2/BCL3/LRP6/FGF10/MAP4K4/FGF4/AURKA/JAK2/SOX10/HIF1A/TCL1A/AKT2/PIK3CG/GATA3/CCND1/VEGFA/BCL6/FOXP1/BIRC6/NFE2L2/CREB1/CCND2/PIK3CA/SOX9/CCR7/BCL2L12/KDR/SMO/DNMT1/RAF1/KRAS/NOTCH2/IL6ST/MDM2/KLF4/MYC/PIM1/YAP1/IGF1R/GATA6/ERBB2/AKT1/MCL1/ITPKB/SFRP2/EGFR/NTRK2/HMGA2/BRAF/DDR2/PRKCI/RICTOR/TERT/CTNNB1/IL7R/CHST11/AURKB/WT1/IRS2/MITF/PTPN1/HDAC2/POU3F4/SRC/NTRK1/MDM4/PRKDC" 73
"BP" "GO:0051338" "regulation of transferase activity" "63/334" "371/9111" 1.00411030499665e-25 3.28344069733903e-23 1.73957706348103e-23 "IGF1/WWTR1/FLT4/ROS1/PIK3CB/ERBB3/FGFR2/FGFR3/LRP6/MAP3K13/FGFR1/HSP90AA1/JAK2/MAPK1/PDGFB/TCL1A/TRIB3/FLT1/CCNE1/PIK3CG/MET/NHERF1/CCND1/CCND3/VEGFA/CCND2/FLT3/HNRNPA2B1/CCR7/MAP2K2/KDR/PPARG/PDGFRA/KLF4/MYC/IGF1R/IQGAP1/ERBB2/AKT1/EGFR/CCNB3/NTRK2/PAK1/HMGA2/EIF4A2/NRG1/KIT/LRP5/DDR2/IGF2/CTNNB1/MAP2K1/INSR/AURKB/IRS2/PTPN1/EPHB4/SRC/NTRK1/TRIM27/TCL1B/MTCP1/LYN" 63
"BP" "GO:0051347" "positive regulation of transferase activity" "51/334" "240/9111" 1.65888840444323e-25 5.00729084541171e-23 2.65287821763188e-23 "IGF1/FLT4/ROS1/ERBB3/FGFR2/FGFR3/MAP3K13/FGFR1/HSP90AA1/JAK2/MAPK1/PDGFB/TCL1A/TRIB3/FLT1/PIK3CG/MET/CCND1/CCND3/VEGFA/CCND2/FLT3/HNRNPA2B1/CCR7/MAP2K2/KDR/PDGFRA/KLF4/MYC/IGF1R/IQGAP1/ERBB2/AKT1/EGFR/NTRK2/PAK1/HMGA2/NRG1/KIT/DDR2/IGF2/CTNNB1/MAP2K1/INSR/AURKB/PTPN1/EPHB4/SRC/NTRK1/TCL1B/MTCP1" 51
"BP" "GO:0046649" "lymphocyte activation" "70/334" "468/9111" 3.51370244419953e-25 9.24888871374064e-23 4.90008992157244e-23 "CD79B/FYN/WAS/IGF1/HDAC4/BCL3/FGF10/FCGR2B/SMARCE1/CDH17/JAK2/YY1/NFATC2/CD276/LYL1/TYK2/CDK6/PIK3CG/GATA3/CCND3/BCL6/FOXP1/MPL/KMT2A/MYB/CD274/PIK3CA/FLT3/INHBA/CCR7/RAC2/RARA/NOTCH2/IL6ST/KAT7/IRF4/STAT4/CUL4A/ERBB2/VAV1/AKT1/ABL2/ITPKB/ZEB1/EPHB1/KIT/BRAF/IKZF3/TNFSF13/JAK1/NCSTN/SYK/STAT6/IGF2/CTNNB1/IL7R/PIK3CD/MYD88/YES1/PTPN11/PBX1/IRS2/PAX5/SRC/PDCD1LG2/CARD11/NTRK1/MAFB/PRKDC/LYN" 70
"BP" "GO:0000165" "MAPK cascade" "68/334" "442/9111" 3.53550791809657e-25 9.24888871374064e-23 4.90008992157244e-23 "IGF1/HGF/FLT4/ROS1/PIK3CB/FGFR2/FGFR3/FGF10/CDC42/MAP4K4/FCGR2B/MAP3K13/FGF4/FGFR1/MECOM/JAK2/CRKL/MAPK1/PDGFB/FLT1/IKBKB/PIK3CG/NHERF1/VEGFA/FGF23/FLT3/INHBA/SOX9/CCR7/RRAS/MAP2K2/RAP1B/KDR/RAF1/PPARG/KRAS/NOTCH2/PDGFRA/EPHA7/MYC/IGF1R/IQGAP1/ERBB2/ITPKB/EGFR/NTRK2/PAK1/EPHB1/NRG1/KIT/BRAF/FGF19/SYK/FRS2/IGF2/CTNNB1/MAP2K1/CDH2/INSR/MYD88/PTPN11/ALOX12B/SOX2/PTPN1/SRC/NTRK1/NRAS/LYN" 68
"BP" "GO:0043408" "regulation of MAPK cascade" "63/334" "392/9111" 2.31200604709504e-24 5.67019483050058e-22 3.00408680461362e-22 "IGF1/HGF/FLT4/ROS1/PIK3CB/FGFR2/FGFR3/FGF10/CDC42/MAP4K4/FCGR2B/MAP3K13/FGF4/FGFR1/MECOM/JAK2/CRKL/MAPK1/PDGFB/FLT1/PIK3CG/NHERF1/VEGFA/FGF23/FLT3/INHBA/CCR7/RRAS/MAP2K2/RAP1B/KDR/RAF1/PPARG/NOTCH2/PDGFRA/EPHA7/MYC/IGF1R/IQGAP1/ERBB2/EGFR/NTRK2/PAK1/EPHB1/NRG1/KIT/BRAF/FGF19/SYK/FRS2/IGF2/CTNNB1/MAP2K1/CDH2/INSR/MYD88/PTPN11/ALOX12B/SOX2/PTPN1/SRC/NTRK1/LYN" 63
"BP" "GO:0050673" "epithelial cell proliferation" "51/334" "254/9111" 2.69438956486973e-24 6.21928508973461e-22 3.29499652669828e-22 "IGF1/HGF/FLT4/PIK3CB/FGFR2/FGF10/CDC42/TP63/FGFR1/PGR/ESR1/MAPK1/PDGFB/HIF1A/FLT1/CDK6/GATA3/CCND1/GLI1/VEGFA/AKT3/PLCG1/SOX9/MAP2K2/KDR/SMO/RAF1/PPARG/NOTCH2/CDK4/MYC/YAP1/LGR5/ERBB2/AKT1/SFRP2/EGFR/ZEB1/KIT/NCSTN/RICTOR/FRS2/STAT6/IGF2/CTNNB1/MAP2K1/PIK3CD/SOX2/IRS2/NRAS/PRKDC" 51
"BP" "GO:0043549" "regulation of kinase activity" "55/334" "307/9111" 1.26435862769764e-23 2.75630180838086e-21 1.46029724544026e-21 "IGF1/WWTR1/FLT4/ROS1/PIK3CB/ERBB3/FGFR2/FGFR3/LRP6/MAP3K13/FGFR1/HSP90AA1/JAK2/PDGFB/TCL1A/TRIB3/FLT1/CCNE1/PIK3CG/MET/NHERF1/CCND1/CCND3/VEGFA/CCND2/FLT3/CCR7/MAP2K2/KDR/PPARG/PDGFRA/IGF1R/IQGAP1/ERBB2/AKT1/EGFR/CCNB3/NTRK2/PAK1/HMGA2/NRG1/KIT/LRP5/DDR2/MAP2K1/INSR/IRS2/PTPN1/EPHB4/SRC/NTRK1/TRIM27/TCL1B/MTCP1/LYN" 55
"BP" "GO:0045596" "negative regulation of cell differentiation" "60/334" "382/9111" 1.15956381656513e-22 2.39480442957978e-20 1.26877481313913e-20 "IGF1/WWTR1/HDAC7/HDAC4/FGF10/FCGR2B/TP63/NOTCH3/RUNX1T1/MAPK1/SOX10/PDGFB/YY1/NFATC2/TRIB3/CDK6/GATA3/SHOC2/CCND1/VEGFA/BCL6/FOXP1/NFE2L2/MYB/FGF23/BCL11A/INHBA/SOX9/SMO/FOXA1/DNMT1/RARA/PPARG/KRAS/EPHA7/NKX2-1/MYC/YAP1/CUL4A/SS18/ERBB2/ITPKB/SFRP2/EGFR/ZEB1/EPHB1/SKI/LRP5/HEY1/FRS2/IGF2/CTNNB1/DDIT3/CALR/PTPN11/SOX2/PBX1/MAFB/NOTCH4/LYN" 60
"BP" "GO:0033674" "positive regulation of kinase activity" "43/334" "192/9111" 1.54112507215192e-22 3.02368739156207e-20 1.60195895657897e-20 "IGF1/FLT4/ROS1/ERBB3/FGFR2/FGFR3/MAP3K13/FGFR1/HSP90AA1/JAK2/PDGFB/TCL1A/FLT1/PIK3CG/MET/CCND1/CCND3/VEGFA/CCND2/FLT3/CCR7/MAP2K2/KDR/PDGFRA/IGF1R/IQGAP1/ERBB2/AKT1/EGFR/NTRK2/PAK1/HMGA2/NRG1/KIT/DDR2/MAP2K1/INSR/PTPN1/EPHB4/SRC/NTRK1/TCL1B/MTCP1" 43
"BP" "GO:0043410" "positive regulation of MAPK cascade" "51/334" "281/9111" 3.43337108301815e-22 6.41549910941105e-20 3.39895132278739e-20 "IGF1/HGF/FLT4/FGFR2/FGFR3/FGF10/CDC42/FCGR2B/MAP3K13/FGF4/FGFR1/JAK2/CRKL/PDGFB/FLT1/PIK3CG/VEGFA/FGF23/FLT3/INHBA/CCR7/MAP2K2/RAP1B/KDR/RAF1/NOTCH2/PDGFRA/IGF1R/IQGAP1/ERBB2/EGFR/NTRK2/PAK1/NRG1/KIT/BRAF/FGF19/SYK/FRS2/IGF2/CTNNB1/MAP2K1/CDH2/INSR/MYD88/PTPN11/ALOX12B/SOX2/PTPN1/SRC/NTRK1" 51
"BP" "GO:2000147" "positive regulation of cell motility" "54/334" "318/9111" 4.76798606414024e-22 8.50435332531195e-20 4.50563276396027e-20 "IGF1/HGF/FLT4/PIK3CB/HDAC7/FGF10/CDC42/MAP4K4/FGFR1/JAK2/CRKL/MAPK1/PDGFB/HIF1A/ARHGAP5/FLT1/AKT2/PIK3CG/MET/GATA3/COL1A1/GAB1/VEGFA/FOXP1/NFE2L2/AKT3/CD274/CXCR4/PLCG1/SOX9/CCR7/RRAS/MAP2K2/KDR/RAC2/SMO/RRAS2/PDGFRA/MDM2/IGF1R/AKT1/ABL2/EGFR/PAK1/KIT/DDR2/TERT/INSR/PIK3CD/CALR/IRS2/SRC/TMSB4X/LYN" 54
"BP" "GO:0030335" "positive regulation of cell migration" "53/334" "309/9111" 7.45217689905576e-22 1.27140618051717e-19 6.73594937100006e-20 "IGF1/HGF/FLT4/PIK3CB/HDAC7/FGF10/CDC42/MAP4K4/FGFR1/JAK2/CRKL/MAPK1/PDGFB/HIF1A/ARHGAP5/FLT1/AKT2/PIK3CG/MET/GATA3/COL1A1/GAB1/VEGFA/FOXP1/NFE2L2/AKT3/CD274/CXCR4/PLCG1/SOX9/CCR7/RRAS/KDR/RAC2/SMO/RRAS2/PDGFRA/MDM2/IGF1R/AKT1/ABL2/EGFR/PAK1/KIT/DDR2/TERT/INSR/PIK3CD/CALR/IRS2/SRC/TMSB4X/LYN" 53
"BP" "GO:0040017" "positive regulation of locomotion" "54/334" "322/9111" 8.78812920191677e-22 1.43685912451339e-19 7.61252419902878e-20 "IGF1/HGF/FLT4/PIK3CB/HDAC7/FGF10/CDC42/MAP4K4/FGFR1/JAK2/CRKL/MAPK1/PDGFB/HIF1A/ARHGAP5/FLT1/AKT2/PIK3CG/MET/GATA3/COL1A1/GAB1/VEGFA/FOXP1/NFE2L2/AKT3/CD274/CXCR4/PLCG1/SOX9/CCR7/RRAS/MAP2K2/KDR/RAC2/SMO/RRAS2/PDGFRA/MDM2/IGF1R/AKT1/ABL2/EGFR/PAK1/KIT/DDR2/TERT/INSR/PIK3CD/CALR/IRS2/SRC/TMSB4X/LYN" 54
"BP" "GO:0001763" "morphogenesis of a branching structure" "34/334" "120/9111" 1.59120819889653e-21 2.497560388988e-19 1.32321523908238e-19 "HGF/FGFR2/FGF10/TP63/MAP3K13/PGR/ESR1/SOX10/MET/HOXA13/VEGFA/BCL11A/SOX9/KDR/SMO/HOXD11/HOXD13/FOXA1/KRAS/EPHA7/NKX2-1/MYC/YAP1/SFRP2/RSPO3/PAK1/HOXB13/LRP5/FRS2/CTNNB1/WT1/PBX1/SRC/NOTCH4" 34
"BP" "GO:0009725" "response to hormone" "66/334" "485/9111" 2.22368790798427e-21 3.35605821189626e-19 1.77805004788216e-19 "LRP6/PRKACA/TP63/GNB1/HSP90AA1/PGR/ESR1/JAK2/MAPK1/SOX10/YY1/TRIB3/UBR5/AKT2/TYK2/GATA3/SHOC2/DDX5/COL1A1/GAB1/CCND1/FOXP1/NFE2L2/CREB1/SGK1/FGF23/PIK3CA/FLT3/INHBA/NCOA3/CCR7/FOXA1/RARA/RAF1/PPARG/LMO2/MDM2/NKX2-1/YAP1/STAT4/USP8/NCOA2/IGF1R/GATA6/AKT1/PAK1/KIT/BRAF/LRP5/JAK1/DDR2/ATP1A1/PRKCI/STAT6/IGF2/INSR/CALR/PTPN11/WT1/SMYD3/IRS2/PTPN1/SRC/HSD3B1/PRKDC/LYN" 66
"BP" "GO:0043491" "phosphatidylinositol 3-kinase/protein kinase B signal transduction" "37/334" "151/9111" 6.1315381087055e-21 8.91116871798532e-19 4.72116482054322e-19 "IGF1/HGF/GAB2/PIK3CB/ERBB3/FGFR1/HSP90AA1/JAK2/PDGFB/FLT1/PIK3CG/GATA3/NHERF1/PIK3CA/FLT3/SOX9/CCR7/RRAS/HIP1/KDR/PIK3C2B/PDGFRA/IGF1R/ERBB2/AKT1/EGFR/NTRK2/KIT/DDR2/RICTOR/IGF2/INSR/PIK3CD/DDIT3/RPS6KB2/SRC/NTRK1" 37
"BP" "GO:0033002" "muscle cell proliferation" "33/334" "118/9111" 1.00896201505389e-20 1.41398819538267e-18 7.49135330726106e-19 "JARID2/IGF1/HGF/FGFR2/NOTCH3/JAK2/PDGFB/GLI1/FOXP1/MEF2D/MYB/PIK3CA/DNMT1/PPARG/MDM2/PIM1/YAP1/IGF1R/GATA6/AKT1/GNA12/EPHB1/SKI/DDR2/TERT/FRS2/CTNNB1/MYD88/DDIT3/JUN/FES/SRC/PRKDC" 33
"BP" "GO:0001944" "vasculature development" "60/334" "423/9111" 2.40096583326871e-20 3.24875514818843e-18 1.72120055198029e-18 "FLT4/PIK3CB/HDAC7/FGFR2/FGF10/NOTCH3/AGO1/CRKL/MAPK1/PDGFB/HIF1A/NFATC2/KLF5/FLT1/LYL1/PIK3CG/HOXA13/COL1A1/GAB1/FGF6/VEGFA/NFE2L2/AKT3/PIK3CA/CXCR4/PLCG1/ID1/RRAS/KDR/SMO/DNMT1/PPARG/NOTCH2/PDGFRA/MDM2/KLF4/YAP1/GATA6/ERBB2/AKT1/SFRP2/RSPO3/NTRK2/HMGA2/EPHB1/KIT/HOXB13/LRP5/JAK1/TERT/HEY1/SYK/CTNNB1/MAP2K1/CDH2/PIK3CD/DDIT3/WT1/EPHB4/NOTCH4" 60
"BP" "GO:0018108" "peptidyl-tyrosine phosphorylation" "38/334" "169/9111" 4.54746613993825e-20 5.80921459891164e-18 3.07773990902154e-18 "FYN/IGF1/HGF/FLT4/ERBB3/FGFR2/FGFR3/FGF10/FGFR1/JAK2/PDGFB/FLT1/VEGFA/FLT3/KDR/IL6ST/PDGFRA/EPHA7/IGF1R/ERBB2/ABL2/SFRP2/EGFR/KIT/JAK1/DDR2/RICTOR/SYK/IGF2/INSR/YES1/PTPN11/FES/PTPN1/HDAC2/SRC/NTRK1/LYN" 38
"BP" "GO:0007507" "heart development" "53/334" "337/9111" 4.60940345126901e-20 5.80921459891164e-18 3.07773990902154e-18 "JARID2/IGF1/ERBB3/FGFR2/CDC42/CRKL/MAPK1/PDGFB/HIF1A/YY1/SALL4/HOXA13/GATA3/GLI1/VEGFA/FOXP1/MEF2D/CREB1/INHBA/SOX9/MAP2K2/KDR/SMO/RARA/NOTCH2/PDGFRA/MDM2/PIM1/YAP1/FOXN4/IGF1R/GATA6/ERBB2/SFRP2/EGFR/NRG1/SKI/FGF19/HEY1/FRS2/CTNNB1/MAP2K1/INSR/CALR/PTPN11/FES/WT1/FGF3/EPOR/EPHB4/MDM4/BORCS8-MEF2B/PRKDC" 53
"BP" "GO:0046777" "protein autophosphorylation" "32/334" "115/9111" 4.73738193591164e-20 5.80921459891164e-18 3.07773990902154e-18 "FLT4/FGFR2/FGFR3/MAP3K13/FGFR1/AURKA/JAK2/PDGFB/FLT1/VEGFA/FLT3/MAP2K2/KDR/PDGFRA/EPHA7/PIM1/IGF1R/ERBB2/AKT1/EGFR/NTRK2/PAK1/EPHB1/KIT/DDR2/INSR/AURKB/FES/EPHB4/SRC/NTRK1/LYN" 32
"BP" "GO:0018212" "peptidyl-tyrosine modification" "38/334" "170/9111" 5.6683733366489e-20 6.74021120394251e-18 3.57098479741039e-18 "FYN/IGF1/HGF/FLT4/ERBB3/FGFR2/FGFR3/FGF10/FGFR1/JAK2/PDGFB/FLT1/VEGFA/FLT3/KDR/IL6ST/PDGFRA/EPHA7/IGF1R/ERBB2/ABL2/SFRP2/EGFR/KIT/JAK1/DDR2/RICTOR/SYK/IGF2/INSR/YES1/PTPN11/FES/PTPN1/HDAC2/SRC/NTRK1/LYN" 38
"BP" "GO:0048589" "developmental growth" "55/334" "366/9111" 7.44542845533594e-20 8.34738893106807e-18 4.42247254113939e-18 "JARID2/IGF1/WWTR1/FGFR2/FGFR3/FGF10/MAP3K13/DNM2/HSP90AA1/GNAS/AURKA/ESR1/SOX10/YY1/SALL4/KLF5/GATA3/GLI1/VEGFA/FOXP1/BCL9/CREB1/BCL11A/PIK3CA/CXCR4/SOX9/SMO/HOXD13/RARA/NOTCH2/EPHA7/TEC/PIM1/YAP1/CYP19A1/IQGAP1/GATA6/AKT1/SFRP2/SKI/DDR2/IGF2/CTNNB1/INSR/CHST11/TBL1XR1/CDH4/PTPN11/SOX2/PLAG1/FES/FOXL2/POU3F2/WT1/SRC" 55
"BP" "GO:0048729" "tissue morphogenesis" "55/334" "366/9111" 7.44542845533594e-20 8.34738893106807e-18 4.42247254113939e-18 "HGF/FGFR2/FGF10/CDC42/PRKACA/TP63/PGR/ESR1/SOX10/HIF1A/SALL4/MET/HOXA13/GATA3/NHERF1/VEGFA/FOXP1/CXCR4/INHBA/SOX9/KDR/SMO/HOXD11/HOXD13/FOXA1/RARA/KRAS/NOTCH2/EPHA7/MDM2/NKX2-1/KLF4/MYC/YAP1/LGR5/FOXN4/SFRP2/RSPO3/EGFR/PAK1/HMGA2/NRG1/SKI/HOXB13/LRP5/HEY1/FRS2/CTNNB1/PIK3CD/MLLT3/WT1/PBX1/SRC/MDM4/NOTCH4" 55
"BP" "GO:0032870" "cellular response to hormone stimulus" "53/334" "342/9111" 9.17460000793498e-20 1.00003140086491e-17 5.29819737300339e-18 "PRKACA/TP63/GNB1/PGR/ESR1/JAK2/MAPK1/SOX10/TRIB3/UBR5/AKT2/TYK2/SHOC2/DDX5/GAB1/FOXP1/NFE2L2/SGK1/FGF23/PIK3CA/FLT3/INHBA/NCOA3/FOXA1/RARA/RAF1/PPARG/LMO2/MDM2/YAP1/USP8/NCOA2/IGF1R/GATA6/AKT1/PAK1/KIT/JAK1/DDR2/ATP1A1/PRKCI/STAT6/IGF2/INSR/CALR/PTPN11/WT1/SMYD3/IRS2/PTPN1/SRC/PRKDC/LYN" 53
